action_id,name,summary,source,version
ACT_ATTACK,Attack,Attack with a weapon or an Unarmed Strike,PHB (2024),2024
ACT_DASH,Dash,"For the rest of the turn, give yourself extra movement equal to your Speed",PHB (2024),2024
ACT_DISENGAGE,Disengage,Your movement does not provoke Opportunity Attack for the rest of the turn,PHB (2024),2024
ACT_DODGE,Dodge,"Until the start of your next turn, attack rolls against you have Disadvantage, and you make Dexterity saving throws with Advantage; you lose this benefit if you have the Incapacitated condition or if your Speed is 0",PHB (2024),2024
ACT_HELP,Help,"Help another creature's ability check or attack roll, or administer first aid",PHB (2024),2024
ACT_HIDE,Hide,Make a Dexterity (Stealth) check,PHB (2024),2024
ACT_INFLUENCE,Influence,"Make a Charisma (Deception, Intimidation, Performance, or Persuasion) or Wisdom (Animal Handling) check to alter a creature's attitude",PHB (2024),2024
ACT_MAGIC,Magic,"Cast a spell, use a magic item, or use a magical feature",PHB (2024),2024
ACT_READY,Ready,Prepare to take an action in response to a trigger you define,PHB (2024),2024
ACT_SEARCH,Search,"Make a Wisdom (Insight, Medicine, Perception, or Survival) check",PHB (2024),2024
ACT_STUDY,Study,"Make an Intelligence (Arcana, History, Investigation, Nature, or Religion) check",PHB (2024),2024
ACT_UTILIZE,Utilize,Use a nonmagical object,PHB (2024),2024
