name,Quantity,Storage,weight,cost,Description
Acid,,,1 lb.,25 GP,"When you take the Attack action, you can replace one of your attacks with throwing a vial of Acid. Target one creature or object you can see within 20 feet of yourself. The target must succeed on a Dexterity saving throw (DC 8 plus your Dexterity modifier and Proficiency Bonus) or take 2d6 Acid damage."
Alchemist's Fire,,,1 lb.,50 GP,"When you take the Attack action, you can replace one of your attacks with throwing a flask of Alchemist’s Fire. Target one creature or object you can see within 20 feet of yourself. The target must succeed on a Dexterity saving throw (DC 8 plus your Dexterity modifier and Proficiency Bonus) or take 1d4 Fire damage and start burning (see the rules glossary)."
Ammunition (Arrows),20,Quiver,1 lb.,1 GP,"Ammunition is required by a weapon that has the Ammunition property. A weapon’s description specifies the type of ammunition used by the weapon. The Ammunition table lists the different types and the amount you get when you buy them. The table also lists the item that is typically used to store each type; storage must be bought separately."
Ammunition (Bolts),20,Case,.5 lb.,1 GP,"Ammunition is required by a weapon that has the Ammunition property. A weapon’s description specifies the type of ammunition used by the weapon. The Ammunition table lists the different types and the amount you get when you buy them. The table also lists the item that is typically used to store each type; storage must be bought separately."
Ammunition (Bullets_Firearm),10,Pouch,2 lb.,3 GP,"Ammunition is required by a weapon that has the Ammunition property. A weapon’s description specifies the type of ammunition used by the weapon. The Ammunition table lists the different types and the amount you get when you buy them. The table also lists the item that is typically used to store each type; storage must be bought separately."
Ammunition (Bullets_Sling),20,Pouch,1.5 lb.,4 CP,"Ammunition is required by a weapon that has the Ammunition property. A weapon’s description specifies the type of ammunition used by the weapon. The Ammunition table lists the different types and the amount you get when you buy them. The table also lists the item that is typically used to store each type; storage must be bought separately."
Ammunition (Needles),50,Pouch,1 lb.,1 GP,"Ammunition is required by a weapon that has the Ammunition property. A weapon’s description specifies the type of ammunition used by the weapon. The Ammunition table lists the different types and the amount you get when you buy them. The table also lists the item that is typically used to store each type; storage must be bought separately."
Antitoxin,,,,50 GP,"As a Bonus Action, you can drink a vial of Antitoxin to gain Advantage on saving throws to avoid or end the Poisoned condition for 1 hour."
Arcane Focus (Crystal),,,1 lb.,10 GP,"An Arcane Focus takes one of the forms in the Arcane Focuses table and is bejeweled or carved to channel arcane magic. A Sorcerer, Warlock, or Wizard can use such an item as a Spellcasting Focus."
Arcane Focus (Orb),,,3 lb.,20 GP,"An Arcane Focus takes one of the forms in the Arcane Focuses table and is bejeweled or carved to channel arcane magic. A Sorcerer, Warlock, or Wizard can use such an item as a Spellcasting Focus."
Arcane Focus (Rod),,,2 lb.,10 GP,"An Arcane Focus takes one of the forms in the Arcane Focuses table and is bejeweled or carved to channel arcane magic. A Sorcerer, Warlock, or Wizard can use such an item as a Spellcasting Focus."
Arcane Focus (Staff),,,4 lb.,5 GP,"An Arcane Focus takes one of the forms in the Arcane Focuses table and is bejeweled or carved to channel arcane magic. A Sorcerer, Warlock, or Wizard can use such an item as a Spellcasting Focus."
Arcane Focus (Wand),,,1 lb.,10 GP,"An Arcane Focus takes one of the forms in the Arcane Focuses table and is bejeweled or carved to channel arcane magic. A Sorcerer, Warlock, or Wizard can use such an item as a Spellcasting Focus."
Backpack,,,5 lb.,2 GP,"A Backpack holds up to 30 pounds within 1 cubic foot. It can also serve as a saddlebag"
Ball Bearings,,,2 lb.,1 GP,"As a Utilize action, you can spill Ball Bearings from their pouch. They spread to cover a level, 10-foot-square area within 10 feet of yourself. A creature that enters this area for the first time on a turn must succeed on a DC 10 Dexterity saving throw or have the Prone condition. It takes 10 minutes to recover the Ball Bearings."
Barrel,,,70 lb.,2 GP,"A Barrel holds up to 40 gallons of liquid or up to 4 cubic feet of dry goods."
Basket,,,2 lb.,4 SP,"A Basket holds up to 5 pounds within 1 cubic foot."
Bell,,,,1 GP,"A Bell can be rung as a Utilize action to create a loud sound audible up to 60 feet away."
Bedroll,,,7 lb.,1 GP,"A Bedroll sleeps one Small or Medium creature. While in a Bedroll, you automatically succeed on saving throws against extreme cold"
Blanket,,,3 lb.,5 SP,"While wrapped in a blanket, you have Advantage on saving throws against extreme cold"
Block and Tackle,,,5 lb.,1 GP,"A Block and Tackle allows you to hoist up to four times the weight you can normally lift."
Book,,,5 lb.,25 GP,"A Book contains fiction or nonfiction. If you consult an accurate nonfiction Book about its topic, you gain a +5 bonus to Intelligence (Arcana, History, Nature, or Religion) checks you make about that topic."
Glass Bottle,,,2 lb.,2 GP,"A Glass Bottle holds up to 1½ pints."
Bucket,,,2 lb.,5 CP,"A Bucket holds up to half a cubic foot of contents."
Caltrops,,,2 lb.,1 GP,"As a Utilize action, you can spread Caltrops from their bag to cover a 5-foot-square area within 5 feet of yourself. A creature that enters this area for the first time on a turn must succeed on a DC 15 Dexterity saving throw or take 1 Piercing damage and have its Speed reduced to 0 until the start of its next turn. It takes 10 minutes to recover the Caltrops."
Candle,,,,1 CP,"A Candle burns for 1 hour, providing bright light in a 5-foot radius and dim light for an additional 5 feet."
A Case for Crossbow Bolts,,,1 lb.,1 GP,A Crossbow Bolt Case holds up to 20 Bolts.
A Case for A Map or Scroll,,,1 lb.,1 GP,A Map or Scroll Case holds up to 10 sheets of paper or 5 sheets of parchment.
Chain,,,10 lb.,5 GP,"As a Utilize action, you can wrap a Chain around an unwilling creature within 5 feet of yourself that has the Grappled, Incapacitated, or Restrained condition if you succeed on a DC 13 Strength (Athletics) check. If the creature’s legs are bound, the creature has the Restrained condition until it escapes. Escaping the Chain requires the creature to make a successful DC 18 Dexterity (Acrobatics) check as an action. Bursting the Chain requires a successful DC 20 Strength (Athletics) check as an action."
Chest,,,25 lb.,5 GP,"A Chest holds up to 12 cubic feet of contents"
Climber's Kit,,,12 lb.,25 GP,"A Climber’s Kit includes boot tips, gloves, pitons, and a harness. As a Utilize action, you can use the Climber’s Kit to anchor yourself; when you do, you can’t fall more than 25 feet from the anchor point, and you can’t move more than 25 feet from there without undoing the anchor as a Bonus Action."
Fine_Clothes,,,6 lb.,15 GP,"Fine Clothes are made of expensive fabrics and adorned with expertly crafted details. Some events and locations admit only people wearing these clothes."
Travelers_Clothes,,,4 lb.,2 GP,"Traveler’s Clothes are resilient garments designed for travel in various environments."
Component Pouch,,,2 lb.,25 GP,"A Component Pouch is watertight and filled with compartments that hold all the free Material components of your spells."
Costume,,,4 lb.,5 GP,"While wearing a Costume, you have Advantage on any ability check you make to impersonate the person or type of person it represents."
Crowbar,,,5 lb.,2 GP,"Using a Crowbar gives you Advantage on Strength checks where the Crowbar’s leverage can be applied."
Druidic Focus (Sprig of Mistletoe),,,,1 GP,"A Druidic Focus is a special item used by druids to cast spells."
Druidic Focus (Yew Wand),,,1 lb.,10 GP,"A Druidic Focus is a special item used by druids to cast spells."
Flask,,,1 lb.,2 CP,"A Flask holds up to 1 pint."
Grappling Hook,,,4 lb.,2 GP,"As a Utilize action, you can throw the Grappling Hook at a railing, a ledge, or another catch within 50 feet of yourself, and the hook catches on if you succeed on a DC 13 Dexterity (Acrobatics) check. If you tied a Rope to the hook, you can then climb it."
Healer's Kit,,,3 lb.,5 GP,"A Healer’s Kit has ten uses. As a Utilize action, you can expend one of its uses to stabilize an Unconscious creature that has 0 Hit Points without needing to make a Wisdom (Medicine) check."
Holy Symbol (Amulet),,,1 lbb.,5 GP,"A Holy Symbol is a representation of a deity or pantheon, used by clerics and paladins to channel divine power."
Holy Symbol (Emblem),,,1 lb.,5 GP,"A Holy Symbol is a representation of a deity or pantheon, used by clerics and paladins to channel divine power."
Holy Symbol (Reliquary),,,2 lb.,5 GP,"A Holy Symbol is a representation of a deity or pantheon, used by clerics and paladins to channel divine power."
Holy Water,,,1 lb.,25 GP,"As an action, you can splash the contents of a flask of Holy Water onto a creature within 5 feet of yourself or throw it up to 20 feet, shattering it on impact. If the target is a Fiend or Undead, it takes 2d6 Radiant damage."
Hunting Trap,,,25 lb.,5 GP,"As a Utilize action, you can set a Hunting Trap, which is a sawtooth steel ring that snaps shut when a creature steps on a pressure plate in the center. The trap is affixed by a heavy chain to an immobile object, such as a tree or a spike driven into the ground. A creature that steps on the plate must succeed on a DC 13 Dexterity saving throw or take 1d4 Piercing damage and have its Speed reduced to 0 until the start of its next turn. Thereafter, until the creature breaks free of the trap, its movement is limited by the length of the chain (typically 3 feet). A creature can use its action to make a DC 13 Strength (Athletics) check, freeing itself or another creature within its reach on a success. Each failed check deals 1 Piercing damage to the trapped creature."
Ink,,,,10 GP,"Ink comes in a 1-ounce bottle, which provides enough ink to write about 500 pages."
Ink Pen,,,,2 GP,"An Ink Pen is used to write with Ink."
Jug,,,4 lb.,2 CP,"A Jug holds up to 1 gallon."
Ladder,,,25 lb.,1 SP,"A Ladder is 10 feet tall. You must climb to move up or down it."
Lamp,,,1 lb.,5 SP,"A Lamp burns Oil as fuel to cast Bright Light in a 15-foot radius and Dim Light for an additional 30 feet."
Bullseye Lantern,,,2 lb.,10 GP,"A Bullseye Lantern burns Oil as fuel to cast Bright Light in a 60-foot Cone and Dim Light for an additional 60 feet."
Hooded Lantern,,,2 lb.,5 GP,"A Hooded Lantern burns Oil as fuel to cast Bright Light in a 30-foot radius and Dim Light for an additional 30 feet. As a Bonus Action, you can lower the hood, reducing the light to Dim Light in a 5-foot radius, or raise it again."
Lock,,,1 lb.,10 GP,"A Lock comes with a key. Without the key, a creature can use Thieves’ Tools to pick this Lock with a successful DC 15 Dexterity (Sleight of Hand) check."
Magnifying Glass,,,,100 GP,"A Magnifying Glass grants Advantage on any ability check made to appraise or inspect a highly detailed item. Lighting a fire with a Magnifying Glass requires light as bright as sunlight to focus, tinder to ignite, and about 5 minutes for the fire to ignite."
Manacles,,,6 lb.,2 GP,"As a Utilize action, you can use Manacles to bind an unwilling Small or Medium creature within 5 feet of yourself that has the Grappled, Incapacitated, or Restrained condition if you succeed on a DC 13 Dexterity (Sleight of Hand) check. While bound, a creature has Disadvantage on attack rolls, and the creature is Restrained if the Manacles are attached to a chain or hook that is fixed in place. Escaping the Manacles requires a successful DC 20 Dexterity (Sleight of Hand) check as an action. Bursting them requires a successful DC 25 Strength (Athletics) check as an action.Each set of Manacles comes with a key. Without the key, a creature can use Thieves’ Tools to pick the Manacles’ lock with a successful DC 15 Dexterity (Sleight of Hand) check"
Map,,,,10 GP,"If you consult an accurate Map, you gain a +5 bonus to Wisdom (Survival) checks you make to find your way in the place represented on it."
Mirror,,,.5 lb.,5 GP,"A handheld steel Mirror is useful for personal cosmetics but also for peeking around corners and reflecting light as a signal."
Net,,,3 lb.,1 GP,"When you take the Attack action, you can replace one of your attacks with throwing a Net. Target a creature you can see within 15 feet of yourself. The target must succeed on a Dexterity saving throw (DC 8 plus your Dexterity modifier and Proficiency Bonus) or have the Restrained condition until it escapes. The target succeeds automatically if it is Huge or larger. To escape, the target or a creature within 5 feet of it must take an action to make a DC 10 Strength (Athletics) check, freeing the Restrained creature on a success. Destroying the Net (AC 10; 5 HP; Immunity to Bludgeoning, Poison, and Psychic damage) also frees the target, ending the effect. "
Oil,,,1 lb.,1 SP,"You can douse a creature, object, or space with Oil or use it as fuel, as detailed below. Dousing a Creature or an Object. When you take the Attack action, you can replace one of your attacks with throwing an Oil flask. Target one creature or object within 20 feet of yourself. The target must succeed on a Dexterity saving throw (DC 8 plus your Dexterity modifier and Proficiency Bonus) or be covered in oil. If the target takes Fire damage before the oil dries (after 1 minute), the target takes an extra 5 Fire damage from burning oil.Dousing a Space. You can take the Utilize action to pour an Oil flask on level ground to cover a 5-foot-square area within 5 feet of yourself. If lit, the oil burns until the end of the turn 2 rounds from when the oil was lit (or 12 seconds) and deals 5 Fire damage to any creature that enters the area or ends its turn there. A creature can take this damage only once per turn. Fuel. Oil serves as fuel for Lamps and Lanterns. Once lit, a flask of Oil burns for 6 hours in a Lamp or Lantern. That duration doesn’t need to be consecutive; you can extinguish the burning Oil (as a Utilize action) and rekindle it again until it has burned for a total of 6 hours."
Paper,,,,2 SP,"One sheet of Paper can hold about 250 handwritten words."
Parchment,,,,1 GP,"One sheet of Parchment can hold about 250 handwritten words."
Perfume,,,,5 GP,"Perfume comes in a 4-ounce vial. For 1 hour after applying Perfume to yourself, you have Advantage on Charisma (Persuasion) checks made to influence an Indifferent Humanoid within 5 feet of yourself"
Basic Poison,,,,100 GP,"As a Bonus Action, you can use a vial of Basic Poison to coat one weapon or up to three pieces of ammunition. A creature that takes Piercing or Slashing damage from the poisoned weapon or ammunition takes an extra 1d4 Poison damage. Once applied, the poison retains potency for 1 minute or until its damage is dealt, whichever comes first."
Pole,,,7 lb.,5 CP,"A Pole is 10 feet long. You can use it to touch something up to 10 feet away. If you must make a Strength (Athletics) check as part of a High or Long Jump, you can use the Pole to vault, giving yourself Advantage on the check."
Iron Pot,,,10 lb.,2 GP,"An Iron Pot holds up to 1 gallon."
Potion of Healing,,,.5 lb.,50 GP,"This potion is a magic item. As a Bonus Action, you can drink it or administer it to another creature within 5 feet of yourself. The creature that drinks the magical red fluid in this vial regains 2d4 + 2 Hit Points."
Pouch,,,1 lb.,5 SP,"A Pouch holds up to 6 pounds within one-fifth of a cubic foot."
Quiver,,,1 lb.,1 GP,"A Quiver holds up to 20 Arrows."
Portable Ram,,,35 lb.,4 GP,"You can use a Portable Ram to break down doors. When doing so, you gain a +4 bonus to the Strength check. One other character can help you use the ram, giving you Advantage on this check."
Rations,,,2 lb.,5 SP,"Rations consist of travel-ready food, including jerky, dried fruit, hardtack, and nuts. See “Malnutrition” in the rules glossary for the risks of not eating."
Robe,,,4 lb.,1 GP,"A Robe has vocational or ceremonial significance. Some events and locations admit only people wearing a Robe bearing certain colors or symbols."
Rope,,,5 lb.,1 GP,"As a Utilize action, you can tie a knot with Rope if you succeed on a DC 10 Dexterity (Sleight of Hand) check. The Rope can be burst with a successful DC 20 Strength (Athletics) check.You can bind an unwilling creature with the Rope only if the creature has the Grappled, Incapacitated, or Restrained condition. If the creature’s legs are bound, the creature has the Restrained condition until it escapes. Escaping the Rope requires the creature to make a successful DC 15 Dexterity (Acrobatics) check as an action."
Sack,,,.5 lb.,1 CP,"A Sack holds up to 30 pounds within 1 cubic foot."
Shovel,,,5 lb.,2 GP,"Working for 1 hour, you can use a Shovel to dig a hole that is 5 feet on each side in soil or similar material."
Signal Whistle,,,,5 SP,"When blown as a Utilize action, a Signal Whistle produces a sound that can be heard up to 600 feet away."
Spell Scroll (Cantrip),,,,30 GP,"A Spell Scroll (Cantrip) is a magic item that bears the words of a cantrip, respectively, determined by the scroll’s creator. If the spell is on your class’s spell list, you can read the scroll and cast the spell using its normal casting time and without providing any Material components.If the spell requires a saving throw or an attack roll, the spell save DC is 13, and the attack bonus is +5. The scroll disintegrates when the casting is completed."
Spell Scroll (1st_Level),,,,50 GP,"A Spell Scroll (1st Level) is a magic item that bears the words of a level 1 spell, respectively, determined by the scroll’s creator. If the spell is on your class’s spell list, you can read the scroll and cast the spell using its normal casting time and without providing any Material components.If the spell requires a saving throw or an attack roll, the spell save DC is 13, and the attack bonus is +5. The scroll disintegrates when the casting is completed."
Iron Spikes,,,5 lb.,1 GP,"Iron Spikes come in bundles of ten. As a Utilize action, you can use a blunt object, such as a Light Hammer, to hammer a spike into wood, earth, or a similar material. You can do so to jam a door shut or to then tie a Rope or Chain to the Spike."
Spyglass,,,1 lb.,1000 GP,"Objects viewed through a Spyglass are magnified to twice their size."
String,,,,1 SP,"String is 10 feet long. You can tie a knot in it as a Utilize action."
Tent,,,20 lb.,2 GP,"A Tent sleeps up to two Small or Medium creatures."
Tinderbox,,,1 lb.,5 SP,"A Tinderbox is a small container holding flint, fire steel, and tinder (usually dry cloth soaked in light oil) used to kindle a fire. Using it to light a Candle, Lamp, Lantern, or Torch—or anything else with exposed fuel—takes a Bonus Action. Lighting any other fire takes 1 minute."
Torch,,,1 lb.,1 CP,"A Torch burns for 1 hour, casting Bright Light in a 20-foot radius and Dim Light for an additional 20 feet. When you take the Attack action, you can attack with the Torch, using it as a Simple Melee weapon. On a hit, the target takes 1 Fire damage."
Vial,,,,1 GP,"A Vial is a small container that holds up to 4 ounces of liquid."
Waterskin,,,5 lb.,2 SP,"A Waterskin holds up to 4 pints. If you don’t drink sufficient water, you risk dehydration (see the rules glossary)."
