skill_id,name,ability,example_uses,source,version
SKL_ACROBATICS,Acrobatics,Dexterity,"Stay on your feet in a tricky situation, or perform an acrobatic stunt",PHB (2024),2024
SKL_ANIMAL_HANDLING,Animal Handling,Wisdom,"Calm or train an animal, or get an animal to behave in a certain way",PHB (2024),2024
SKL_ARCANA,Arcana,Intelligence,"Recall lore about spells, magic items, and the planes of existence",PHB (2024),2024
SKL_ATHLETICS,Athletics,Strength,"Jump farther than normal, stay afloat in rough water, or break something",PHB (2024),2024
SKL_DECEPTION,Deception,Charisma,"Tell a convincing lie, or wear a disguise convincingly",PHB (2024),2024
SKL_HISTORY,History,Intelligence,"Recall lore about historical events, people, nations, and cultures",PHB (2024),2024
SKL_INSIGHT,Insight,Wisdom,Discern a person's mood and intentions,PHB (2024),2024
SKL_INTIMIDATION,Intimidation,Charisma,Awe or threaten someone into doing what you want,PHB (2024),2024
SKL_INVESTIGATION,Investigation,Intelligence,"Find obscure information in books, or deduce how something works",PHB (2024),2024
SKL_MEDICINE,Medicine,Wisdom,"Diagnose an illness, or determine what killed the recently slain",PHB (2024),2024
SKL_NATURE,Nature,Intelligence,"Recall lore about terrain, plants, animals, and weather",PHB (2024),2024
SKL_PERCEPTION,Perception,Wisdom,"Using a combination of senses, notice something that is easy to miss",PHB (2024),2024
SKL_PERFORMANCE,Performance,Charisma,"Act, tell a story, perform music, or dance",PHB (2024),2024
SKL_PERSUASION,Persuasion,Charisma,Honestly and graciously convince someone of something,PHB (2024),2024
SKL_RELIGION,Religion,Intelligence,"Recall lore about gods, religious rituals, and holy symbols",PHB (2024),2024
SKL_SLEIGHT_OF_HAND,Sleight of Hand,Dexterity,"Pick a pocket, conceal a handheld object, or perform legerdemain",PHB (2024),2024
SKL_STEALTH,Stealth,Dexterity,Escape notice by moving quietly and hiding behind things,PHB (2024),2024
SKL_SURVIVAL,Survival,Wisdom,"Follow tracks, forage, find a trail, or avoid natural hazards",PHB (2024),2024
